sample ID (based on genealogy)	profile	platform		Sanger ID		IRCC_full	Sample_PD_ID
CRC0095LMX0A01201TUMD01000	MUT	SangerSequencing		PD25883a		CRC0514PRH	PD25938a
CRC0095LMX0A01201TUMD01000	MUT	WES		PD25883a		CRC0514PRX	PD25938c2
CRC0095LMX0A02204TUMD06000	GCN	TargetedNGS		PD25883a		CRC0287PRX	PD25939a
CRC0095LMX0A02204TUMD06000	MUT	TargetedNGS		PD25883a		CRC0538LMX	PD25940a2
CRC0096LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC0549LMX	PD25941a2
CRC0096LMX0A01201TUMD01000	GCN	RealTimePCR		PD25905a		CRC0549PRX	PD25941c2
CRC0096LMX0A01201TUMD01000	GCN	WES		PD25905a		CRC0537LMX	PD25942a2
CRC0096LMX0A01201TUMD01000	MUT	SangerSequencing		PD25905a		CRC0547PRX	PD25943a2
CRC0096LMX0A01201TUMD01000	MUT	WES		PD25905a		CRC0535LMX	PD25944a2
CRC0096LMX0A02204TUMD02000	GCN	TargetedNGS		PD25905a		CRC0544LMX	PD25945a2
CRC0096LMX0A02204TUMD02000	MUT	TargetedNGS		PD25905a		CRC0561LMX	PD25946a2
CRC0097LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC0566PRX	PD25947a2
CRC0097LMX0B01201TUMD01000	GCN	WES		PD26147a2		CRC0560LMX	PD25948c2
CRC0097LMX0B01201TUMD01000	MUT	SangerSequencing		PD26147a2		CRC0553PRX	PD25949c2
CRC0097LMX0B01201TUMD01000	MUT	WES		PD26147a2		CRC0571PRX	PD25950a2
CRC0097LMX0B02202TUMD02000	GCN	RealTimePCR		PD26147a2		CRC0577PRX	PD25951a2
CRC0097LMX0B02202TUMD05000	MUT	TargetedNGS		PD26147a2		CRC0583PRX	PD25952a2
CRC0097LMX0B02204TUMD02000	GCN	RealTimePCR		PD26147a2		CRC0592PRX	PD25953a2
CRC0098LMH0000000000D01000	MUT	SangerSequencing		PD25996a		CRC0596PRX	PD25954a2
CRC0098LMX0A01201TUMD01000	GCN	WES		PD25996c		CRC0612PRX	PD25955a2
CRC0098LMX0A01201TUMD01000	MUT	SangerSequencing		PD25996c		CRC0622PRX	PD25956a2
CRC0098LMX0A01201TUMD01000	MUT	WES		PD25996c		CRC0666PRX	PD25957a2
CRC0098LMX0A02204TUMD02000	GCN	TargetedNGS		PD25996c		CRC0671PRX	PD25958a2
CRC0098LMX0A02204TUMD02000	MUT	TargetedNGS		PD25996c		CRC0683PRX	PD25959a2
CRC0098LMX0B02001TUMD02000	GCN	RealTimePCR		PD25996c		CRC0687LMX	PD25960a2
CRC0099LMH0000000000D01000	MUT	SangerSequencing		PD26136a		CRC0689PRX	PD25961a2
CRC0099LMH0000000000D02000	MUT	TargetedNGS		PD26136a		CRC0184LMX	PD25962a
CRC0099LMX0A01201TUMD01000	GCN	RealTimePCR		PD26136c		CRC0435LMX	PD25963a
CRC0099LMX0A01201TUMD01000	GCN	WES		PD26136c		CRC0499LMX	PD25964a2
CRC0099LMX0A01201TUMD01000	MUT	SangerSequencing		PD26136c		CRC0507LMX	PD25965a2
CRC0099LMX0A01201TUMD01000	MUT	WES		PD26136c		CRC0517LMX	PD25966a2
CRC0099LMX0A02204TUMD06000	MUT	TargetedNGS		PD26136c		CRC0528LMX	PD25967a2
CRC0100LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC0345LMX	PD25968a
CRC0100LMX0A01201TUMD01000	GCN	RealTimePCR		PD26145a		CRC0063LMX	PD25969a
CRC0100LMX0A01201TUMD01000	MUT	SangerSequencing		PD26145a		CRC0129LMX	PD25970a
CRC0100LMX0A02204TUMD02000	MUT	TargetedNGS		PD26145a		CRC0141LMX	PD25971a
CRC0101LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC0149LMX	PD25972a
CRC0101LMX0A01201TUMD01000	GCN	RealTimePCR		PD26149a		CRC0176LMX	PD25973a
CRC0101LMX0A01201TUMD01000	GCN	WES		PD26149a		CRC0243LMX	PD25974a
CRC0101LMX0A01201TUMD01000	MUT	SangerSequencing		PD26149a		CRC0119LMX	PD25975a2
CRC0101LMX0A01201TUMD01000	MUT	WES		PD26149a		CRC0175LMX	PD25976a
CRC0101LMX0A02201TUMD06000	MUT	TargetedNGS		PD26149a		CRC0157LMX	PD25977a
CRC0102LMX0B01201TUMD01000	GCN	RealTimePCR		#N/A		CRC0076LMX	PD25979a2
CRC0102LMX0B01201TUMD01000	GCN	WES		#N/A		CRC0131LMX	PD25980a2
CRC0102LMX0B01201TUMD01000	MUT	WES		#N/A		CRC0162LMH	PD25981a
CRC0103LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC0162LMX	PD25981c
CRC0103LMX0B01201TUMD01000	GCN	RealTimePCR		PD26024a2		CRC0159LMX	PD25982a
CRC0103LMX0B01201TUMD01000	MUT	SangerSequencing		PD26024a2		CRC0105LMX	PD25983a
CRC0103LMX0B01201TUMD01000	MUT	WES		PD26024a2		CRC0156LMX	PD25985a
CRC0103LMX0B02202TUMD05000	GCN	TargetedNGS		PD26024a2		CRC0174LMX	PD25986a
CRC0103LMX0B02202TUMD05000	MUT	TargetedNGS		PD26024a2		CRC0058LMX	PD25987a
CRC0104LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC0080LMX	PD25988a2
CRC0104LMX0A01201TUMD01000	GCN	RealTimePCR		PD26032a		CRC0112LMX	PD25988c
CRC0104LMX0A01201TUMD01000	GCN	WES		PD26032a		CRC0113LMX	PD25989a
CRC0104LMX0A01201TUMD01000	MUT	SangerSequencing		PD26032a		CRC0130LMX	PD25990c2
CRC0104LMX0A01201TUMD01000	MUT	WES		PD26032a		CRC0252LMX	PD25991a
CRC0104LMX0A02204TUMD06000	GCN	TargetedNGS		PD26032a		CRC0067LMX	PD25992a
CRC0104LMX0A02204TUMD06000	MUT	TargetedNGS		PD26032a		CRC0242LMX	PD25993a
CRC0105LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC0153LMX	PD25994a
CRC0105LMX0A01201TUMD01000	GCN	RealTimePCR		PD25983a		CRC0120LMX	PD25995a
CRC0105LMX0A01201TUMD01000	GCN	WES		PD25983a		CRC0098LMH	PD25996a
CRC0105LMX0A01201TUMD01000	MUT	SangerSequencing		PD25983a		CRC0098LMX	PD25996c
CRC0105LMX0A01201TUMD01000	MUT	WES		PD25983a		CRC0155LMX	PD25997a
CRC0105LMX0A02204TUMD06000	GCN	TargetedNGS		PD25983a		CRC0178LMX	PD25998a2
CRC0105LMX0A02204TUMD06000	MUT	TargetedNGS		PD25983a		CRC0165LMH	PD25999a
CRC0106LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC0165LMX	PD25999c2
CRC0106LMX0B01201TUMD01000	GCN	RealTimePCR		PD26021a		CRC0117LMX	PD26000a
CRC0106LMX0B02204TUMD06000	GCN	TargetedNGS		PD26021a		CRC0154LMX	PD26001a
CRC0106LMX0B02204TUMD06000	MUT	TargetedNGS		PD26021a		CRC0139LMX	PD26002a
CRC0108LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC0148LMX	PD26003a
CRC0108LMX0A01201TUMD01000	GCN	RealTimePCR		PD26034a		CRC0160LMX	PD26004a
CRC0108LMX0A01201TUMD01000	GCN	WES		PD26034a		CRC0021LMX	PD26005a
CRC0108LMX0A01201TUMD01000	MUT	SangerSequencing		PD26034a		CRC0077LMX	PD26006a
CRC0108LMX0A01201TUMD01000	MUT	WES		PD26034a		CRC0150LMH	PD26007a
CRC0108LMX0A02204TUMD06000	GCN	TargetedNGS		PD26034a		CRC0150LMX	PD26007c
CRC0108LMX0A02204TUMD06000	MUT	TargetedNGS		PD26034a		CRC0171LMX	PD26008a
CRC0109LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC0133LMX	PD26009a
CRC0109LMX0A01201TUMD01000	GCN	RealTimePCR		PD25874a		CRC0163LMX	PD26010a
CRC0109LMX0A01201TUMD01000	GCN	WES		PD25874a		CRC0161LMX	PD26011a2
CRC0109LMX0A01201TUMD01000	MUT	SangerSequencing		PD25874a		CRC0073LMX	PD26012a2
CRC0109LMX0A01201TUMD01000	MUT	WES		PD25874a		CRC0167LMX	PD26013a
CRC0109LMX0A02203TUMD10000	GCN	TargetedNGS		PD25874a		CRC0128LMX	PD26014a
CRC0109LMX0A02203TUMD10000	MUT	TargetedNGS		PD25874a		CRC0135LMX	PD26014c
CRC0109LMX0A02204TUMD01000	GCN	RealTimePCR		PD25874a		CRC0056LMX	PD26015a
CRC0110LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC0066LMX	PD26016a
CRC0110LMX0A01201TUMD01000	GCN	RealTimePCR		PD26025a		CRC0134LMX	PD26017a
CRC0110LMX0A01201TUMD01000	MUT	SangerSequencing		PD26025a		CRC0059LMX	PD26018a
CRC0110LMX0A02204TUMD06000	GCN	TargetedNGS		PD26025a		CRC0057LMH	PD26020a
CRC0110LMX0A02204TUMD06000	MUT	TargetedNGS		PD26025a		CRC0057LMX	PD26020c
CRC0111LMX0A01001TUMD01000	GCN	RealTimePCR		#N/A		CRC0106LMX	PD26021a
CRC0112LMH0000000000D01000	GCN	WES		#N/A		CRC0137LMX	PD26022a
CRC0112LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC0136LMX	PD26023a
CRC0112LMH0000000000D01000	MUT	WES		#N/A		CRC0103LMX	PD26024a2
CRC0112LMX0A01201TUMD01000	MUT	SangerSequencing		PD25988c		CRC0110LMX	PD26025a
CRC0112LMX0A02201TUMD01000	GCN	RealTimePCR		PD25988c		CRC0127LMX	PD26026a
CRC0112LMX0A02201TUMD01000	GCN	WES		PD25988c		CRC0064LMX	PD26027a
CRC0112LMX0A02201TUMD01000	MUT	WES		PD25988c		CRC0177LMX	PD26028a
CRC0112LMX0A02201TUMD02000	GCN	TargetedNGS		PD25988c		CRC0146LMX	PD26029a
CRC0112LMX0A02201TUMD02000	MUT	TargetedNGS		PD25988c		CRC0152LMX	PD26030a
CRC0113LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC0030LMX	PD26031a2
CRC0113LMX0B01201TUMD01000	GCN	RealTimePCR		PD25989a		CRC0104LMX	PD26032a
CRC0113LMX0B01201TUMD01000	GCN	WES		PD25989a		CRC0246LMX	PD26033a
CRC0113LMX0B01201TUMD01000	MUT	SangerSequencing		PD25989a		CRC0108LMX	PD26034a
CRC0113LMX0B01201TUMD01000	MUT	WES		PD25989a		CRC0358LMX	PD26035a
CRC0113LMX0B02201TUMD06000	GCN	TargetedNGS		PD25989a		CRC0505LMX	PD26035c2
CRC0113LMX0B02201TUMD06000	MUT	TargetedNGS		PD25989a		CRC0598LMX	PD26035d2
CRC0114LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC0344LMX	PD26036a
CRC0114LMX0A01201TUMD01000	GCN	RealTimePCR		PD25908a		CRC0339LMX	PD26037a
CRC0114LMX0A01201TUMD01000	MUT	SangerSequencing		PD25908a		CRC0334LMX	PD26038a
CRC0114LMX0A02204TUMD02000	GCN	TargetedNGS		PD25908a		CRC0330LMX	PD26039a
CRC0114LMX0A02204TUMD02000	MUT	TargetedNGS		PD25908a		CRC0329LMX	PD26040a
CRC0115LMH0000000000D01000	MUT	SangerSequencing		PD25909a		CRC0328LMX	PD26041a
CRC0115LMH0000000000D02000	GCN	TargetedNGS		PD25909a		CRC0327LMX	PD26042a
CRC0115LMH0000000000D02000	MUT	TargetedNGS		PD25909a		CRC0321LMX	PD26043a
CRC0115LMX0A01201TUMD01000	GCN	RealTimePCR		PD25909c		CRC0378LMX	PD26044a
CRC0115LMX0A01201TUMD01000	GCN	WES		PD25909c		CRC0314LMX	PD26045a
CRC0115LMX0A01201TUMD01000	MUT	SangerSequencing		PD25909c		CRC0312LMX	PD26046a
CRC0115LMX0A01201TUMD01000	MUT	WES		PD25909c		CRC0310LMX	PD26047a
CRC0115LMX0A02201TUMD06000	GCN	TargetedNGS		PD25909c		CRC0309LMX	PD26048a
CRC0115LMX0A02201TUMD06000	MUT	TargetedNGS		PD25909c		CRC0305LMX	PD26049a
CRC0116LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC0292LMX	PD26051a
CRC0116LMX0A01201TUMD01000	GCN	RealTimePCR		PD26141a		CRC0291LMH	PD26052a
CRC0116LMX0A01201TUMD01000	GCN	WES		PD26141a		CRC0291LMX	PD26052c
CRC0116LMX0A01201TUMD01000	MUT	SangerSequencing		PD26141a		CRC0264LMX	PD26053a
CRC0116LMX0A01201TUMD01000	MUT	WES		PD26141a		CRC0262LMX	PD26054a
CRC0116LMX0A02201TUMD02000	MUT	TargetedNGS		PD26141a		CRC0542LMX	PD26054c2
CRC0117LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC0261LMX	PD26055a
CRC0117LMX0A01201TUMD01000	GCN	RealTimePCR		PD26000a		CRC0257LMH	PD26056a
CRC0117LMX0A01201TUMD01000	GCN	WES		PD26000a		CRC0257LMX	PD26056c
CRC0117LMX0A01201TUMD01000	MUT	SangerSequencing		PD26000a		CRC0477LMX	PD26056d2
CRC0117LMX0A01201TUMD01000	MUT	WES		PD26000a		CRC0231LMX	PD26057a
CRC0117LMX0A02204TUMD06000	GCN	TargetedNGS		PD26000a		CRC0221LMX	PD26058a
CRC0117LMX0A02204TUMD06000	MUT	TargetedNGS		PD26000a		CRC0218LMX	PD26059a
CRC0118LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC0217LMX	PD26060a
CRC0118LMX0A01201TUMD01000	GCN	RealTimePCR		PD25880a		CRC0214LMX	PD26061a
CRC0118LMX0A02204TUMD06000	GCN	TargetedNGS		PD25880a		CRC0207LMH	PD26062a
CRC0118LMX0A02204TUMD06000	MUT	TargetedNGS		PD25880a		CRC0207LMX	PD26062c
CRC0119LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC0204LMX	PD26063a
CRC0119LMX0A01201TUMD01000	GCN	RealTimePCR		PD25975a2		CRC0190LMX	PD26064a
CRC0119LMX0A02202TUMD05000	GCN	TargetedNGS		PD25975a2		CRC0513LMX	PD26065a2
CRC0119LMX0A02202TUMD05000	MUT	TargetedNGS		PD25975a2		CRC0199LMX	PD26066a
CRC0120LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC0198LMX	PD26067a2
CRC0120LMX0A01201TUMD01000	GCN	RealTimePCR		PD25995a		CRC0197LMX	PD26068a
CRC0120LMX0A01201TUMD01000	MUT	SangerSequencing		PD25995a		CRC0188LMX	PD26069a
CRC0120LMX0A02204TUMD02000	GCN	TargetedNGS		PD25995a		CRC0186LMX	PD26070a
CRC0120LMX0A02204TUMD02000	MUT	TargetedNGS		PD25995a		CRC0185LMX	PD26071a
CRC0121LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC0379LMX	PD26072a2
CRC0121LMX0A01201TUMD01000	GCN	RealTimePCR		PD26107a2		CRC0377LMX	PD26073a
CRC0121LMX0A01201TUMD01000	GCN	WES		PD26107a2		CRC0370LMX	PD26074a
CRC0121LMX0A01201TUMD01000	MUT	SangerSequencing		PD26107a2		CRC0382LMX	PD26075a
CRC0121LMX0A01201TUMD01000	MUT	WES		PD26107a2		CRC0391LMX	PD26076a
CRC0121LMX0A02202TUMD05000	MUT	TargetedNGS		PD26107a2		CRC0396LMX	PD26077a
CRC0122LMX0A01001TUMD01000	GCN	RealTimePCR		#N/A		CRC0394LMX	PD26078a
CRC0123LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC0515LMX	PD26079a2
CRC0123LMX0A01201TUMD01000	GCN	RealTimePCR		PD25869a		CRC0422LMX	PD26080a2
CRC0123LMX0A01201TUMD01000	MUT	SangerSequencing		PD25869a		CRC0418LMX	PD26081a
CRC0123LMX0A02204TUMD02000	GCN	TargetedNGS		PD25869a		CRC0399LMH	PD26082a
CRC0123LMX0A02204TUMD02000	MUT	TargetedNGS		PD25869a		CRC0399LMX	PD26082c
CRC0124LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC0475LMX	PD26083a2
CRC0124LMX0A01201TUMD01000	GCN	RealTimePCR		PD25894a		CRC0534LMX	PD26084a2
CRC0124LMX0A01201TUMD01000	GCN	WES		PD25894a		CRC0518LMX	PD26085a2
CRC0124LMX0A01201TUMD01000	MUT	SangerSequencing		PD25894a		CRC0503LMX	PD26086a2
CRC0124LMX0A01201TUMD01000	MUT	WES		PD25894a		CRC0530LMX	PD26087a2
CRC0124LMX0A02201TUMD02000	GCN	TargetedNGS		PD25894a		CRC0512LMX	PD26088a2
CRC0124LMX0A02201TUMD02000	MUT	TargetedNGS		PD25894a		CRC0508LMH	PD26089a
CRC0125LMH0000000000D01000	MUT	WES		#N/A		CRC0508LMX	PD26089c2
CRC0125LMX0A01201TUMD01000	GCN	RealTimePCR		PD25906a		CRC0452LMX	PD26090a2
CRC0125LMX0A02201TUMD01000	GCN	WES		PD25906a		CRC0494LMX	PD26091a2
CRC0125LMX0A02201TUMD01000	MUT	WES		PD25906a		CRC0525LMX	PD26092a2
CRC0125LMX0A02204TUMD02000	GCN	TargetedNGS		PD25906a		CRC0539LMH	PD26092c
CRC0125LMX0A02204TUMD02000	MUT	TargetedNGS		PD25906a		CRC0539LMX	PD26092d2
CRC0126LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC0461LMX	PD26093a2
CRC0126LMX0A01201TUMD01000	GCN	RealTimePCR		#N/A		CRC0429LMX	PD26094a
CRC0126LMX0A01201TUMD01000	GCN	WES		#N/A		CRC0464LMX	PD26095a
CRC0126LMX0A01201TUMD01000	MUT	SangerSequencing		#N/A		CRC0492LMX	PD26096a2
CRC0126LMX0A01201TUMD01000	MUT	WES		#N/A		CRC0484LMX	PD26097a2
CRC0127LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC0254LMX	PD26098a
CRC0127LMX0A01201TUMD01000	GCN	RealTimePCR		PD26026a		CRC0536LMX	PD26099a2
CRC0127LMX0A01201TUMD01000	MUT	SangerSequencing		PD26026a		CRC0471LMX	PD26100a2
CRC0127LMX0A02204TUMD06000	GCN	TargetedNGS		PD26026a		CRC0479LMX	PD26101a2
CRC0127LMX0A02204TUMD06000	MUT	TargetedNGS		PD26026a		CRC0551LMX	PD26102a2
CRC0128LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC0451LMX	PD26103a2
CRC0128LMX0A02204TUMD06000	GCN	TargetedNGS		PD26014a		CRC0502LMX	PD26104a2
CRC0128LMX0A02204TUMD06000	MUT	TargetedNGS		PD26014a		CRC0467LMX	PD26105a2
CRC0129LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC0072LMH	PD26106a
CRC0129LMX0A01201TUMD01000	GCN	RealTimePCR		PD25970a		CRC0072LMX	PD26106c
CRC0129LMX0A01201TUMD01000	GCN	WES		PD25970a		CRC0121LMX	PD26107a2
CRC0129LMX0A01201TUMD01000	MUT	SangerSequencing		PD25970a		CRC0068LMX	PD26108a
CRC0129LMX0A01201TUMD01000	MUT	WES		PD25970a		CRC0529LMH	PD26109a
CRC0129LMX0A02204TUMD07000	GCN	TargetedNGS		PD25970a		CRC0529LMX	PD26109c2
CRC0129LMX0A02204TUMD07000	MUT	TargetedNGS		PD25970a		CRC0488LMX	PD26110a2
CRC0130LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC0322LMX	PD26111a2
CRC0130LMX0A01201TUMD01000	GCN	RealTimePCR		PD25990c2		CRC0323LMX	PD26112a
CRC0130LMX0A01201TUMD01000	MUT	SangerSequencing		PD25990c2		CRC0576LMX	PD26113a2
CRC0130LMX0A02202TUMD04000	GCN	TargetedNGS		PD25990c2		CRC0570LMX	PD26114a2
CRC0130LMX0A02202TUMD04000	MUT	TargetedNGS		PD25990c2		CRC0624LMX	PD26115a2
CRC0131LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC0480LMX	PD26116a2
CRC0131LMX0A01201TUMD01000	GCN	RealTimePCR		PD25980a2		CRC0593LMX	PD26117a2
CRC0131LMX0A01201TUMD01000	GCN	WES		PD25980a2		CRC0627LMX	PD26118a2
CRC0131LMX0A01201TUMD01000	MUT	SangerSequencing		PD25980a2		CRC0591LMX	PD26119a2
CRC0131LMX0A01201TUMD01000	MUT	WES		PD25980a2		CRC0526LMX	PD26120a2
CRC0131LMX0A02201TUMD05000	GCN	TargetedNGS		PD25980a2		CRC0493LMH	PD26121a
CRC0131LMX0A02201TUMD05000	MUT	TargetedNGS		PD25980a2		CRC0493LMX	PD26121c2
CRC0131LMX0A02201TUMR04D01	MUT	SangerSequencing		PD25980a2		CRC0540LMX	PD26122c2
CRC0131LMX0A02204TUMR04D01	MUT	SangerSequencing		PD25980a2		CRC0454LMH	PD26123a
CRC0132LMX0A01001TUMD01000	GCN	RealTimePCR		#N/A		CRC0454LMX	PD26123c2
CRC0133LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC0619LMX	PD26124a2
CRC0133LMX0A01201TUMD01000	GCN	RealTimePCR		PD26009a		CRC0458LMX	PD26125c2
CRC0133LMX0A01201TUMD01000	GCN	WES		PD26009a		CRC0604LMX	PD26126a2
CRC0133LMX0A01201TUMD01000	MUT	SangerSequencing		PD26009a		CRC0602LMX	PD26127a2
CRC0133LMX0A01201TUMD01000	MUT	WES		PD26009a		CRC0556LMX	PD26128a2
CRC0133LMX0A02201TUMD02000	GCN	TargetedNGS		PD26009a		CRC0082LMX	PD26129a
CRC0133LMX0A02201TUMD02000	MUT	TargetedNGS		PD26009a		CRC0054LMH	PD26130a
CRC0134LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC0054LMX	PD26130c
CRC0134LMX0A01201TUMD01000	GCN	RealTimePCR		PD26017a		CRC0138LMX	PD26131a2
CRC0134LMX0A01201TUMD01000	MUT	SangerSequencing		PD26017a		CRC0053LMX	PD26132a
CRC0134LMX0A02204TUMD06000	GCN	TargetedNGS		PD26017a		CRC0053PRX	PD26132d
CRC0134LMX0A02204TUMD06000	MUT	TargetedNGS		PD26017a		CRC0143LMX	PD26133a
CRC0135LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC0144LMX	PD26133c
CRC0135LMX0A01201TUMD01000	GCN	RealTimePCR		PD26014c		CRC0065LMX	PD26134a
CRC0135LMX0A01201TUMD01000	MUT	SangerSequencing		PD26014c		CRC0065PRX	PD26134c
CRC0135LMX0A02204TUMD06000	GCN	TargetedNGS		PD26014c		CRC0055LMX	PD26135a
CRC0135LMX0A02204TUMD06000	MUT	TargetedNGS		PD26014c		CRC0099LMH	PD26136a
CRC0136LMX0B01201TUMD01000	GCN	WES		PD26023a		CRC0099LMX	PD26136c
CRC0136LMX0B01201TUMD01000	MUT	WES		PD26023a		CRC0050LMX	PD26137a
CRC0136LMX0B02201TUMD07000	GCN	TargetedNGS		PD26023a		CRC0050PRX	PD26137c
CRC0136LMX0B02201TUMD07000	MUT	TargetedNGS		PD26023a		CRC0196LMX	PD26138a
CRC0137LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC0070LMX	PD26139a
CRC0137LMX0A01201TUMD01000	GCN	RealTimePCR		PD26022a		CRC0147LMX	PD26140a
CRC0137LMX0A01201TUMD01000	GCN	WES		PD26022a		CRC0116LMX	PD26141a
CRC0137LMX0A01201TUMD01000	MUT	SangerSequencing		PD26022a		CRC0607LMX	PD26142a2
CRC0137LMX0A01201TUMD01000	MUT	WES		PD26022a		CRC0094LMX	PD26143a2
CRC0137LMX0A01201TUMD04000	GCN	TargetedNGS		PD26022a		CRC0094PRX	PD26143c2
CRC0137LMX0A01201TUMD04000	MUT	TargetedNGS		PD26022a		CRC0420LMX	PD26144a2
CRC0138LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC0100LMX	PD26145a
CRC0138LMX0A01201TUMD01000	GCN	RealTimePCR		PD26131a2		CRC0081LMH	PD26146a
CRC0138LMX0A01201TUMD01000	MUT	SangerSequencing		PD26131a2		CRC0081LMX	PD26146c2
CRC0138LMX0A02201TUMD07000	MUT	TargetedNGS		PD26131a2		CRC0097LMX	PD26147a2
CRC0139LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC0151LMX	PD26148a
CRC0139LMX0A01201TUMD01000	GCN	RealTimePCR		PD26002a		CRC0101LMX	PD26149a
CRC0139LMX0A01201TUMD01000	MUT	SangerSequencing		PD26002a		CRC0079LMH	PD26150a
CRC0139LMX0A02204TUMD06000	GCN	TargetedNGS		PD26002a		CRC0079LMX	PD26150c
CRC0139LMX0A02204TUMD06000	MUT	TargetedNGS		PD26002a		CRC0051LMX	PD26151a
CRC0140LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC0440LMX	PD26152a
CRC0140LMX0A01201TUMD01000	GCN	RealTimePCR		PD25877a2		CRC0440PRX	PD26152c
CRC0140LMX0A02201TUMD05000	GCN	TargetedNGS		PD25877a2		CRC0441LMX	PD26153a
CRC0140LMX0A02201TUMD05000	MUT	TargetedNGS		PD25877a2		CRC0071LMX	PD26154a
CRC0141LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC0071PRX	PD26154c
CRC0141LMX0A01201TUMD01000	GCN	RealTimePCR		PD25971a		CRC0348LMX	PD26155a
CRC0141LMX0A01201TUMD01000	MUT	SangerSequencing		PD25971a		CRC0277LMX	PD26156a2
CRC0141LMX0A02204TUMD06000	GCN	TargetedNGS		PD25971a		CRC0349LMX	PD26157a
CRC0141LMX0A02204TUMD06000	MUT	TargetedNGS		PD25971a		CRC0297LMX	PD26158a
CRC0142LMX0A01001TUMD01000	GCN	RealTimePCR		#N/A		CRC0415LMX	PD26159a
CRC0143LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC0431LMH	PD26160a
CRC0143LMX0B01201TUMD01000	GCN	RealTimePCR		PD26133a		CRC0431LMX	PD26160c
CRC0143LMX0B01201TUMD01000	MUT	SangerSequencing		PD26133a		CRC0403LMX	PD26161a
CRC0143LMX0B02201TUMD06000	MUT	TargetedNGS		PD26133a		CRC0404LMX	PD26162a
CRC0144LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC0406LMX	PD26163a
CRC0144LMX0A01201TUMD01000	GCN	RealTimePCR		PD26133c		CRC0426LMX	PD26164a
CRC0144LMX0A01201TUMD01000	MUT	SangerSequencing		PD26133c		CRC0714PRX	PD26165a
CRC0144LMX0A01201TUMD02000	MUT	TargetedNGS		PD26133c		CRC0355LMX	PD26166a
CRC0145LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC0354LMX	PD26167a
CRC0145LMX0A01201TUMD01000	GCN	RealTimePCR		PD25895a		CRC0276LMX	PD26168a
CRC0145LMX0A01201TUMD01000	GCN	WES		PD25895a		CRC1325PRX	PD26948a
CRC0145LMX0A01201TUMD01000	MUT	SangerSequencing		PD25895a		CRC1165PRX	PD26949a
CRC0145LMX0A01201TUMD01000	MUT	WES		PD25895a		CRC1252PRX	PD26950a
CRC0145LMX0A02204TUMD02000	GCN	TargetedNGS		PD25895a		CRC1200PRX	PD26951a
CRC0145LMX0A02204TUMD02000	MUT	TargetedNGS		PD25895a		CRC1273PRX	PD26952a
CRC0146LMH0000000000D01000	MUT	SangerSequencing		#N/A		CRC1280PRX	PD26953a
CRC0146LMX0A01201TUMD01000	GCN	RealTimePCR		PD26029a		CRC1263PRX	PD26954a
CRC0146LMX0A01201TUMD01000	GCN	WES		PD26029a		CRC1275PRX	PD26955a
CRC0146LMX0A01201TUMD01000	MUT	SangerSequencing		PD26029a		CRC1266PRX	PD26956a
CRC0146LMX0A01201TUMD01000	MUT	WES		PD26029a		CRC1279PRX	PD26957a
CRC0146LMX0A02204TUMD02000	GCN	TargetedNGS		PD26029a		CRC1317PRX	PD26958a
CRC0146LMX0A02204TUMD02000	MUT	TargetedNGS		PD26029a		CRC1288PRX	PD26959a
