Model	Drug	Manufacturer	Dose	Duration	Frequency	Arm Size	Response Class	Passage Range
CRC0188LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0188LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0190LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0190LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0196LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0196LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0197LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0197LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0198LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0198LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0199LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0199LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0202LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0202LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0204LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0204LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0219LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0219LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PR	Earliest passage is 3
CRC0231LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0231LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0237LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0237LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0239LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0239LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0242LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0242LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0243LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0243LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0246LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0246LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PR	Earliest passage is 3
CRC0252LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0252LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PR	Earliest passage is 3
CRC0254LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0254LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0257LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0257LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0261LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0261LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0262LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0262LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PR	Earliest passage is 3
CRC0264LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0264LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0265LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0265LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0276LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0276LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0277LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0277LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0285LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0285LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0291LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0291LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0297LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0297LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PR	Earliest passage is 3
CRC0306LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0306LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0307LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0307LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0309LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0309LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0312LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0312LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0314LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0314LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0316LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0316LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0321LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0321LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0322LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0322LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PR	Earliest passage is 3
CRC0323LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0323LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0324LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0324LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0327LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0327LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PR	Earliest passage is 3
CRC0328LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0328LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0330LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0330LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0334LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0334LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0343LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0343LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0344LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0344LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0348LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0348LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0349LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0349LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0354LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0354LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0356LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0356LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0358LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0358LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0362LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0362LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0370LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0370LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0371LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0371LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0378LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0378LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PR	Earliest passage is 3
CRC0379LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0379LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0382LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0382LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0391LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0391LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0394LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0394LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0396LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0396LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PR	Earliest passage is 3
CRC0399LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0399LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PR	Earliest passage is 3
CRC0400LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0400LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0403LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0403LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0404LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0404LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PR	Earliest passage is 3
CRC0416LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0416LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0419LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0419LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PR	Earliest passage is 3
CRC0420LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0420LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0431LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0431LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0435LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0435LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0438LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0438LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0440LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0440LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PR	Earliest passage is 3
CRC0441LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0441LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0442LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0442LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0449LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0449LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0456LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0456LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PR	Earliest passage is 3
CRC0458LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0458LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0465LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0465LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0468LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0468LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0471LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0471LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0475LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0475LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0477LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0477LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0479LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0479LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0480LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0480LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0481LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0481LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0484LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0484LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0488LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0488LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0490LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0490LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PR	Earliest passage is 3
CRC0493LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0493LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PR	Earliest passage is 3
CRC0494LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0494LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0495LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0495LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PR	Earliest passage is 3
CRC0504LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0504LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0505LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0505LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0508LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0508LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0512LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0512LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0515LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0515LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0516LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0516LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PR	Earliest passage is 3
CRC0525LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0525LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0527LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0527LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0528LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0528LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0534LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0534LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PR	Earliest passage is 3
CRC0536LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0536LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0537LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0537LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0542LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0542LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	PR	Earliest passage is 3
CRC0556LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0556LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0574LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
CRC0574LM	Erbitux, Cetuximab	Merck	20 mg/Kg	6wks	Twice a week	6 mice per arm	SD	Earliest passage is 3
CRC0578LM	0.9% Solution of Sodium Chloride	B. Braun	0 mg/Kg	3wks	Twice a week	6 mice per arm	PD	Earliest passage is 3
